# WHAT THIS FILE CONTAINS: Every endpoint with the model files deployed for it, what each file does, its estimator family and its decision threshold.
# WHAT IT IS USED FOR: Answering how many models exist per endpoint, and why an endpoint may have more than one file.
# GENERATED FROM: models_rf/ and models_rf/binder_modes.json
endpoint,deployed_model_files,model_files,what_each_file_is,total_size_mb,evaluation_fits_during_10_fold,evaluation_fits_note,estimator_family,decision_threshold,threshold_basis
A1,1,models_rf/A1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",4.17,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9735,measured_inactives_and_background
A2A,2,models_rf/A2A.joblib | models_rf/A2A_binder.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",28.71,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestRegressor,0.9837,measured_inactives_and_background
AChE,2,models_rf/AChE.joblib | models_rf/AChE_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",32.45,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
BACE1,2,models_rf/BACE1.joblib | models_rf/BACE1_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",33.68,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
BBB,2,models_rf/BBB.joblib | models_rf/BBB_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",52.58,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
BChE,2,models_rf/BChE.joblib | models_rf/BChE_calibrated.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | probability calibration wrapped around the frozen base estimator, so the reported number is a probability and not a forest vote share",18.92,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,,
CB1,1,models_rf/CB1_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",5.06,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9396,measured_inactives_and_background
CGRP,1,models_rf/CGRP_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",0.72,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.4,global_fallback
COX2,1,models_rf/COX2_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",2.96,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9087,measured_inactives_and_background
CSF1R,1,models_rf/CSF1R_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",3.26,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.3784,measured_inactives_and_background
D2,2,models_rf/D2.joblib | models_rf/D2_binder.joblib,"base estimator, fitted on the endpoint's full set after cross-validation fixed the estimate | binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",33.32,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestRegressor,0.9808,measured_inactives_and_background
D3,1,models_rf/D3_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",6.55,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.9855,measured_inactives_and_background
DAT,1,models_rf/DAT_binder.joblib,"binder classifier trained against property-matched decoys plus measured inactives, used where the measured set is almost entirely active",2.89,20,ten folds in each of two split regimes; every one was scored on the fold withheld from it and then discarded,RandomForestClassifier,0.4649,measured_inactives_and_background
